raw_mag_x,raw_mag_y,raw_mag_z
-1537,512,3502
-1537,512,3502
-1537,512,3502
-1537,512,3502
-1537,512,3502
-1537,512,3502
-1537,512,3502
-2258,603,2496
-2258,603,2496
-2258,603,2496
-2258,603,2496
-2258,603,2496
-2258,603,2496
-2258,603,2496
-2723,554,2139
-2723,554,2139
-2723,554,2139
-2723,554,2139
-2723,554,2139
-2723,554,2139
-2723,554,2139
-3262,507,1593
-3262,507,1593
-3262,507,1593
-3262,507,1593
-3262,507,1593
-3262,507,1593
-3262,507,1593
-3641,579,811
-3641,579,811
-3641,579,811
-3641,579,811
-3641,579,811
-3641,579,811
-3641,579,811
-3727,529,687
-3727,529,687
-3727,529,687
-3727,529,687
-3727,529,687
-3727,529,687
-3727,529,687
-3888,300,517
-3888,300,517
-3888,300,517
-3888,300,517
-3888,300,517
-3888,300,517
-3888,300,517
-3982,211,-19
-3982,211,-19
-3982,211,-19
-3982,211,-19
-3982,211,-19
-3982,211,-19
-3982,211,-19
-3939,-87,-718
-3939,-87,-718
-3939,-87,-718
-3939,-87,-718
-3939,-87,-718
-3939,-87,-718
-3939,-87,-718
-3793,-337,-1117
-3793,-337,-1117
-3793,-337,-1117
-3793,-337,-1117
-3793,-337,-1117
-3793,-337,-1117
-3793,-337,-1117
-3465,-576,-1558
-3465,-576,-1558
-3465,-576,-1558
-3465,-576,-1558
-3465,-576,-1558
-3465,-576,-1558
-3465,-576,-1558
-3465,-576,-1558
-2870,-636,-1794
-2870,-636,-1794
-2870,-636,-1794
-2870,-636,-1794
-2870,-636,-1794
-2870,-636,-1794
-2870,-636,-1794
-1950,-304,-1579
-1950,-304,-1579
-1950,-304,-1579
-1950,-304,-1579
-1950,-304,-1579
-1950,-304,-1579
-1950,-304,-1579
-994,-45,-1927
-994,-45,-1927
-994,-45,-1927
-994,-45,-1927
-994,-45,-1927
-994,-45,-1927
-994,-45,-1927
-136,655,-1458
-136,655,-1458
-136,655,-1458
-136,655,-1458
-136,655,-1458
-136,655,-1458
-136,655,-1458
237,1173,-818
237,1173,-818
237,1173,-818
237,1173,-818
237,1173,-818
237,1173,-818
237,1173,-818
0,1380,-652
0,1380,-652
0,1380,-652
0,1380,-652
0,1380,-652
0,1380,-652
0,1380,-652
-199,1673,-341
-199,1673,-341
-199,1673,-341
-199,1673,-341
-199,1673,-341
-199,1673,-341
-199,1673,-341
-382,1878,30
-382,1878,30
-382,1878,30
-382,1878,30
-382,1878,30
-382,1878,30
-382,1878,30
-348,1896,295
-348,1896,295
-348,1896,295
-348,1896,295
-348,1896,295
-348,1896,295
-348,1896,295
-199,1878,334
-199,1878,334
-199,1878,334
-199,1878,334
-199,1878,334
-199,1878,334
-199,1878,334
16,1819,306
16,1819,306
16,1819,306
16,1819,306
16,1819,306
16,1819,306
16,1819,306
262,1580,-129
262,1580,-129
262,1580,-129
262,1580,-129
262,1580,-129
262,1580,-129
262,1580,-129
548,1563,-119
548,1563,-119
548,1563,-119
548,1563,-119
548,1563,-119
548,1563,-119
548,1563,-119
565,1626,564
565,1626,564
565,1626,564
565,1626,564
565,1626,564
565,1626,564
565,1626,564
530,1708,585
530,1708,585
530,1708,585
530,1708,585
530,1708,585
530,1708,585
530,1708,585
395,1815,1254
395,1815,1254
395,1815,1254
395,1815,1254
395,1815,1254
395,1815,1254
395,1815,1254
-167,1841,1495
-167,1841,1495
-167,1841,1495
-167,1841,1495
-167,1841,1495
-167,1841,1495
-167,1841,1495
-860,1865,1430
-860,1865,1430
-860,1865,1430
-860,1865,1430
-860,1865,1430
-860,1865,1430
-860,1865,1430
-878,1867,1222
-878,1867,1222
-878,1867,1222
-878,1867,1222
-878,1867,1222
-878,1867,1222
-878,1867,1222
-1046,1878,1148
-1046,1878,1148
-1046,1878,1148
-1046,1878,1148
-1046,1878,1148
-1046,1878,1148
-1046,1878,1148
-1046,1878,1148
-1380,1849,1005
